name,category,type,label_separation,cap_separation,wash_required,recyclable,material,decompose_time,eco_note
페트병,플라스틱,재활용품,필요,필요,필요,가능,PET,약 450년 이상,플라스틱은 재활용되지만 분해되기까지 매우 오랜 시간이 걸립니다.
플라스틱 빨대,플라스틱,일회용품,불필요,불필요,불필요,불가,PP,약 200년,재활용 불가능하며 해양 생물에게 해를 끼칠 수 있습니다.
종이컵,종이,일회용품,해당 없음,해당 없음,필요,조건부 가능,코팅 종이,약 20년,겉면 코팅이 되어 있어 일반 종이보다 재활용이 어렵습니다.
음식물 쓰레기,음식물 쓰레기,유기물,해당 없음,해당 없음,해당 없음,가능,유기물,수 주 이내,퇴비화하면 자원으로 재사용이 가능합니다.
유리병,유리,재활용품,필요,불필요,필요,가능,유리,수백년,재활용 가능하지만 깨질 위험이 있어 조심해야 합니다.
비닐봉투,플라스틱,일회용품,불필요,불필요,불필요,불가,PE,수백년,재활용이 어렵고 자연분해도 매우 느립니다.
알루미늄캔,금속,재활용품,해당 없음,해당 없음,불필요,가능,알루미늄,약 200년,재활용이 잘 되는 품목입니다.
배터리,위험폐기물,특수폐기물,해당 없음,해당 없음,불필요,불가,금속,분해 불가,전용 수거함에 버려야 합니다.
종이상자,종이,재활용품,불필요,불필요,필요,가능,종이,수개월,깨끗하게 접어 배출하면 재활용에 용이합니다.
플라스틱 용기,플라스틱,재활용품,필요,필요,필요,가능,PP,약 200년,내용물을 비우고 세척 후 배출하세요.
스티로폼,플라스틱,일회용품,불필요,불필요,불필요,불가,PS,수백년,재활용이 어려우므로 일반쓰레기로 분리배출합니다.
고철,금속,재활용품,해당 없음,해당 없음,불필요,가능,철,오래 걸림,별도의 수거 장소에 배출하세요.
폐전구,위험폐기물,특수폐기물,해당 없음,해당 없음,불필요,불가,유리/금속,분해 불가,전자제품 수거함에 배출하세요.
면봉,플라스틱,일회용품,불필요,불필요,불필요,불가,플라스틱/면,수개월,쓰레기통에 버려주세요.
종이팩,종이류,재활용품,불필요,불필요,필요,가능,종이,수개월,내용물 비우고 헹군 후 일반폐지와 섞이지 않게 압착 배출
신문지,종이류,재활용품,불필요,불필요,불필요,가능,종이,수개월,물기 없이 펴서 묶어 배출, 비닐코팅 제외
책자,종이류,재활용품,불필요,불필요,불필요,가능,종이,수개월,비닐 코팅 표지, 스프링 제거 후 배출
종이컵,종이류,재활용품,불필요,불필요,필요,조건부 가능,코팅 종이,약 20년,내용물 비우고 헹군 후 압착 배출
골판지상자,종이류,재활용품,불필요,불필요,불필요,가능,종이,수개월,비닐코팅, 테이프, 철핀 제거 후 압착
유리병,유리류,재활용품,불필요,불필요,필요,가능,유리,수백년,뚜껑 제거, 내용물 비우고 배출, 내열식기 제외
금속캔,금속류,재활용품,불필요,불필요,불필요,가능,알루미늄/철,약 200년,내용물 비우고 압착, 플라스틱 뚜껑 제거
고철,금속류,재활용품,불필요,불필요,불필요,가능,철,오래 걸림,이물질 제거 후 묶어 배출
PET 음료병,플라스틱,재활용품,필요,필요,필요,가능,PET,약 450년,내용물 비우고 라벨, 뚜껑 분리 후 압착
플라스틱 용기,플라스틱,재활용품,필요,필요,필요,가능,PP 등,약 200년,내용물 비우고 라벨, 뚜껑 분리, 세척 필수
스티로폼,플라스틱,일회용품,불필요,불필요,필요,불가,PS,수백년,내용물 비우고 라벨 제거, 세척 후 배출
전지류,특수폐기물,재활용불가,불필요,불필요,불필요,불가,금속,분해 불가,제품에서 분리해 수거함에 배출
형광등,특수폐기물,재활용불가,불필요,불필요,불필요,불가,유리/금속,분해 불가,지자체 배출함에 배출
농약용기,영농폐기물,재활용품,불필요,불필요,불필요,가능,플라스틱/유리,수개월,내용물 완전 사용 후 뚜껑 분리, 별도 배출
농촌폐비닐,영농폐기물,재활용 불가,불필요,불필요,불필요,불가,PE,수백년,흙, 잡초 털고 묶어 지정 장소에 보관 후 배출
타이어,폐기물,재활용 불가,불필요,불필요,불필요,불가,고무,분해 불가,정비업소 및 판매소 통해 회수
윤활유,폐기물,재활용 불가,불필요,불필요,불필요,불가,기타,분해 불가,정비업소 등에서 회수
